Search rep 1 (of 2)
random seed = 220553
gen	best_like	time	optPrecision
0	-5361.747999	4	0.5
10	-5346.123903	4	0.5
20	-5345.875148	4	0.5
30	-5345.679345	4	0.5
40	-5336.406921	4	0.5
50	-5336.289869	4	0.5
60	-5336.108534	4	0.5
70	-5335.698702	4	0.5
80	-5334.884613	4	0.5
90	-5334.379975	4	0.5
100	-5334.04282	4	0.5
110	-5301.300453	4	0.5
120	-5301.027313	4	0.5
130	-5299.413057	4	0.5
140	-5299.259378	4	0.5
150	-5298.292699	4	0.5
160	-5288.976916	4	0.5
170	-5288.693707	4	0.5
180	-5288.452227	4	0.5
190	-5288.332354	4	0.5
200	-5288.249414	4	0.5
210	-5281.532222	4	0.5
220	-5280.535951	4	0.5
230	-5280.294427	4	0.5
240	-5276.974821	4	0.5
250	-5276.974821	4	0.5
260	-5276.897153	4	0.5
270	-5235.501011	4	0.5
280	-5235.370497	5	0.5
290	-5234.957885	5	0.5
300	-5234.942497	5	0.5
310	-5234.595741	5	0.5
320	-5234.232135	5	0.5
330	-5213.719607	5	0.5
340	-5211.095052	5	0.5
350	-5211.087035	5	0.5
360	-5211.08654	5	0.5
370	-5148.18374	5	0.5
380	-5147.997516	5	0.5
390	-5118.363931	5	0.5
400	-5113.131104	5	0.5
410	-5112.200706	5	0.5
420	-5111.044374	5	0.5
430	-5110.404265	5	0.5
440	-5110.378498	5	0.5
450	-5110.314521	5	0.5
460	-5097.609648	5	0.5
470	-5097.552754	5	0.5
480	-5097.445011	5	0.5
490	-5096.920807	5	0.5
500	-5096.836316	5	0.5
510	-5096.740635	5	0.5
520	-5096.551204	5	0.5
530	-5096.042264	5	0.5
540	-5095.981621	5	0.5
550	-5095.617217	6	0.5
560	-5095.533739	6	0.5
570	-5095.483558	6	0.5
580	-5095.140536	6	0.5
590	-5094.196638	6	0.5
600	-5093.806834	6	0.5
610	-5093.801003	6	0.5
620	-5093.7851	6	0.5
630	-5093.652472	6	0.5
640	-5088.583361	6	0.5
650	-5087.889828	6	0.5
660	-5087.751606	6	0.5
670	-5087.748318	6	0.5
680	-5087.391852	6	0.5
690	-5086.817858	6	0.5
700	-5086.80386	6	0.5
710	-5086.375911	6	0.5
720	-5086.238767	6	0.5
730	-5086.126707	6	0.5
740	-5085.969668	6	0.5
750	-5085.581893	6	0.5
760	-5085.465691	6	0.5
770	-5085.37853	6	0.5
780	-5085.374566	6	0.5
790	-5082.016186	6	0.5
800	-5077.385408	6	0.5
810	-5075.753095	6	0.5
820	-5075.468118	6	0.5
830	-5075.424904	6	0.5
840	-5075.112989	7	0.5
850	-5074.73748	7	0.5
860	-5074.693717	7	0.5
870	-5074.231237	7	0.5
880	-5073.807407	7	0.5
890	-5073.634614	7	0.5
900	-5073.346913	7	0.5
910	-5073.22482	7	0.5
920	-5073.135834	7	0.5
930	-5073.045225	7	0.5
940	-5072.796621	7	0.5
950	-5072.762292	7	0.5
960	-5072.747507	7	0.5
970	-5072.653809	7	0.5
980	-5072.500599	7	0.5
990	-5072.461358	7	0.5
1000	-5072.359793	7	0.5
1010	-5021.456958	7	0.5
1020	-5021.426768	7	0.5
1030	-5021.426767	7	0.5
1040	-5021.351552	7	0.5
1050	-5021.349264	7	0.5
1060	-5021.124724	7	0.5
1070	-5021.036824	7	0.5
1080	-5021.007612	7	0.5
1090	-5020.83752	7	0.5
1100	-5020.610143	7	0.5
1110	-5020.530253	7	0.5
1120	-5020.030826	8	0.5
1130	-5020.004646	8	0.5
1140	-5019.977592	8	0.5
1150	-5019.573187	8	0.5
1160	-5019.566648	8	0.5
1170	-5019.564196	8	0.5
1180	-5019.491375	8	0.5
1190	-5019.397226	8	0.5
1200	-5019.221509	8	0.5
1210	-5019.085518	8	0.5
1220	-5018.950213	8	0.5
1230	-5018.84368	8	0.5
1240	-5018.747782	8	0.5
1250	-5018.699317	8	0.5
1260	-5018.683289	8	0.5
1270	-5018.654022	8	0.5
1280	-5018.491774	8	0.5
1290	-5018.470665	8	0.5
1300	-5018.323978	8	0.5
1310	-5018.206241	8	0.5
1320	-5018.166438	8	0.5
1330	-5018.068803	8	0.5
1340	-5017.931768	8	0.5
1350	-5017.931107	8	0.5
1360	-5017.902861	8	0.5
1370	-5017.829204	8	0.5
1380	-5017.738584	8	0.5
1390	-5017.612879	8	0.5
1400	-5017.576294	8	0.5
1410	-5017.455629	9	0.5
1420	-5017.391971	9	0.5
1430	-5017.195997	9	0.5
1440	-5017.163045	9	0.5
1450	-5017.059631	9	0.5
1460	-5017.000506	9	0.5
1470	-5016.775798	9	0.5
1480	-5016.771508	9	0.5
1490	-5016.705327	9	0.5
1500	-5016.355413	9	0.5
1510	-5016.317546	9	0.5
1520	-5016.313477	9	0.5
1530	-5016.306728	9	0.5
1540	-5016.273847	9	0.5
1550	-5016.209236	9	0.5
1560	-5016.102219	9	0.5
1570	-5016.101959	9	0.5
1580	-5016.061875	9	0.5
1590	-5016.054154	9	0.5
1600	-5016.049544	9	0.5
1610	-5015.968787	9	0.5
1620	-5015.958133	9	0.5
1630	-5015.877651	9	0.5
1640	-5015.858102	9	0.5
1650	-5015.858101	9	0.5
1660	-5015.74976	9	0.5
1670	-5015.45134	9	0.5
1680	-5015.367687	9	0.5
1690	-5015.363893	10	0.5
1700	-5015.299959	10	0.5
1710	-5015.27678	10	0.5
1720	-5015.202602	10	0.5
1730	-5015.112076	10	0.5
1740	-5014.958676	10	0.5
1750	-5014.930915	10	0.5
1760	-5014.929398	10	0.5
1770	-5014.728621	10	0.5
1780	-5014.715382	10	0.5
1790	-5014.689928	10	0.5
1800	-5014.622317	10	0.5
1810	-5014.622317	10	0.5
1820	-5014.519434	10	0.5
1830	-5014.319707	10	0.5
1840	-5014.250244	10	0.5
1850	-5014.189364	10	0.5
1860	-5014.168396	10	0.5
1870	-5014.081541	10	0.5
1880	-5013.95952	10	0.5
1890	-5013.926931	10	0.5
1900	-5013.822022	10	0.5
1910	-5013.82105	10	0.5
1920	-5013.80931	10	0.5
1930	-5013.802647	10	0.5
1940	-5013.775335	10	0.5
1950	-5013.772035	10	0.5
1960	-5013.76482	10	0.5
1970	-5013.755041	10	0.5
1980	-5013.754692	11	0.5
1990	-5013.646788	11	0.5
2000	-5013.450745	11	0.5
2010	-5013.385249	11	0.5
2020	-5013.322832	11	0.5
2030	-5013.184473	11	0.5
2040	-5013.16682	11	0.5
2050	-5013.145936	11	0.5
2060	-5013.11761	11	0.5
2070	-5013.086139	11	0.5
2080	-5012.975529	11	0.5
2090	-5012.943803	11	0.5
2100	-5012.931761	11	0.5
2110	-5012.927143	11	0.5
2120	-5012.914147	11	0.5
2130	-5012.798064	11	0.5
2140	-5012.649143	11	0.5
2150	-5012.560764	11	0.5
2160	-5012.549362	11	0.5
2170	-5012.498816	11	0.5
2180	-5012.475981	11	0.5
2190	-5012.460595	11	0.5
2200	-5012.460594	11	0.5
2210	-5012.440399	11	0.5
2220	-5012.427358	11	0.5
2230	-5012.398	11	0.5
2240	-5012.356794	11	0.5
2250	-5012.336468	11	0.5
2260	-5012.309865	11	0.5
2270	-5012.254641	11	0.5
