#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:primate" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:primate" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:primate">
#                <taxonset id="TaxonSet.coding" spec="beast.evolution.alignment.TaxonSet">
#                    <alignment filter="2-457,660-896" id="coding" spec="beast.evolution.alignment.FilteredAlignment">
#                    </alignment>
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:primate" name="distribution" x="@birthRate.t:primate">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@coding" id="treeLikelihood.coding" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:primate">
#            <siteModel id="SiteModel.s:primate" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:primate" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:primate" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:primate" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:primate" spec="beast.evolution.substitutionmodel.TN93">
#                    <parameter id="rateAG.s:primate" lower="0.0" name="kappa1">2.0</parameter>
#                    <parameter id="rateCT.s:primate" lower="0.0" name="kappa2">2.0</parameter>
#                    <frequencies id="estimatedFreqs.s:primate" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:primate" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:primate" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:primate" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#        <distribution branchRateModel="@StrictClock.c:primate" id="treeLikelihood.noncoding" siteModel="@SiteModel.s:primate" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:primate">
#            <data data="@primate-mtDNA" filter="1,458-659,897-898" id="noncoding" spec="beast.evolution.alignment.FilteredAlignment"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.coding	treeLikelihood.noncoding	TreeHeight	YuleModel	birthRate	rateAG	rateCT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
0	-11276.32818851921	-11268.302431684766	-8.025756834443936	-9138.00371427766	-2130.298717407105	1.8737445197985771	-8.025756834443936	1.0	2.0	2.0	0.25	0.25	0.25	0.25	
5000	-6080.236524781913	-6087.610980367757	7.374455585844003	-5044.990629654773	-1042.6203507129835	0.25897803050333407	7.374455585844003	14.529820674093855	2.4192116263662675	5.9343696590151875	0.24883777261773496	0.25976626097550015	0.237633842181092	0.2537621242256729	
10000	-6046.95877668313	-6057.627879190098	10.669102506967509	-5026.762484410116	-1030.8653947799821	0.24037462962140893	10.669102506967509	9.657071075391007	3.014483161106138	5.785959576397495	0.2655445809289078	0.25317682357531207	0.21556782049254544	0.2657107750032347	
15000	-6040.610826856451	-6051.24235228579	10.631525429338437	-5020.3004853	-1030.9418669857894	0.23539262504059152	10.631525429338437	9.023091798732104	2.5824378698755766	5.785959576397495	0.27952330163169625	0.2591543348947634	0.2095903091730941	0.25173205430044626	
20000	-6031.64182006868	-6042.160011347101	10.518191278420911	-5009.074145060475	-1033.0858662866262	0.2550636691820908	10.518191278420911	7.931407381188547	2.5541142092638163	5.785959576397495	0.29302073806591317	0.2553128630060544	0.20254665521782442	0.24911974371020804	
25000	-6033.418282764419	-6043.696618309802	10.278335545383111	-5015.70886102926	-1027.9877572805417	0.2354337073640506	10.278335545383111	11.197264347358363	3.269241371239337	5.785959576397495	0.28792977369619915	0.25715443505121227	0.20291022416180587	0.25200556709078276	
30000	-6021.6549352740485	-6031.622777172417	9.967841898368453	-5006.58740561302	-1025.035371559397	0.23999822889121242	9.967841898368453	11.94781905631275	2.949789908837166	6.098957383288627	0.2978538528015657	0.2570584976076298	0.19431889213928127	0.2507687574515233	
35000	-6022.318852816168	-6033.753511772963	11.434658956794909	-5010.636674166	-1023.116837606963	0.22906192029973593	11.434658956794909	7.170333984762164	2.949789908837166	6.098957383288627	0.30739869433793665	0.24727633184970332	0.19257575811121547	0.2527492157011446	
40000	-5993.1225097286315	-6003.579797682372	10.457287953740462	-4977.425025231841	-1026.1547724505322	0.2644259087886398	10.457287953740462	6.26855345763601	3.4246055548054817	6.066542992718925	0.3296994173118688	0.24727633184970332	0.1267910957960174	0.29623315504241055	
45000	-5983.806050526017	-5994.850328106358	11.044277580340033	-4971.521777083728	-1023.3285510226298	0.23674514359291457	11.044277580340033	7.2190923643107245	4.87975877486715	6.173696406638156	0.3289169147658426	0.2688609972213111	0.12075527739056509	0.28146681062228124	
